model_name,Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
efficientnetb0,Tomato___Septoria_leaf_spot,362,2,3,10494,0.9945054945054944,0.9917808219178084,0.9931412894375856
efficientnetb0,Tomato___Spider_mites Two-spotted_spider_mite,332,0,3,10526,1.0,0.991044776119403,0.9955022488755624
efficientnetb0,Tomato___Target_Spot,282,6,2,10571,0.9791666666666666,0.9929577464788732,0.986013986013986
efficientnetb0,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1061,1,0,9799,0.9990583804143126,1.0,0.9995289684408856
efficientnetb0,Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
efficientnetb0,Tomato___healthy,316,1,0,10544,0.996845425867508,1.0,0.9984202211690364
inceptionv3,Apple___Apple_scab,131,0,1,10729,1.0,0.9924242424242424,0.9961977186311788
inceptionv3,Apple___Black_rot,127,1,0,10733,0.9921875,1.0,0.996078431372549
inceptionv3,Apple___Cedar_apple_rust,46,0,1,10814,1.0,0.9787234042553192,0.989247311827957
inceptionv3,Apple___healthy,330,0,4,10527,1.0,0.9880239520958084,0.9939759036144578
inceptionv3,Blueberry___healthy,308,2,0,10551,0.9935483870967742,1.0,0.9967637540453074
inceptionv3,Cherry_(including_sour)___Powdery_mildew,205,0,1,10655,1.0,0.9951456310679612,0.9975669099756692
inceptionv3,Cherry_(including_sour)___healthy,175,1,1,10684,0.9943181818181818,0.9943181818181818,0.9943181818181818
inceptionv3,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,99,8,11,10743,0.9252336448598132,0.9,0.912442396313364
inceptionv3,Corn_(maize)___Common_rust_,234,1,0,10626,0.9957446808510638,1.0,0.9978678038379531
inceptionv3,Corn_(maize)___Northern_Leaf_Blight,175,11,8,10667,0.9408602150537636,0.9562841530054644,0.9485094850948508
inceptionv3,Corn_(maize)___healthy,237,0,0,10624,1.0,1.0,1.0
inceptionv3,Grape___Black_rot,240,0,1,10620,1.0,0.995850622406639,0.997920997920998
